Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
5f9d847a-d9f0-3a06-bb35-d170197d3ddc,GEISINGER-COMMUNITY MEDICAL CENTER,1822 MULBERRY STREET,SCRANTON,PA,18510,41.404178,-75.665908,5709698240,122503.1599999982,1180
f85e2dbe-6b77-3d1c-9f45-512869222322,UPMC MCKEESPORT,1500 FIFTH AVENUE,MC KEESPORT,PA,15132,40.338789,-79.796072,4126642000,236660.87999999343,2367
a95900fc-145a-3255-b7a6-92315fc1f076,GEISINGER-BLOOMSBURG HOSPITAL,549 EAST FAIR STREET,BLOOMSBURG,PA,17815,41.002717,-76.45658,5703872100,20547.150000000016,199
bd28c4c9-969a-309e-89b1-2b8c05b53ca8,HOLY SPIRIT HOSPITAL,503 NORTH 21ST STREET,CAMP HILL,PA,17011,40.24217,-76.927397,7177632100,77699.72000000041,776
a4276a14-813b-3690-b3ba-cd954ba65ebf,GEISINGER MEDICAL CENTER,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,40.961676,-76.61204000000002,5702716211,10284.110000000008,99
6e18e630-e9a5-3e3a-aaf3-e15adcb9c043,ELLWOOD CITY HOSPITAL,724 PERSHING STREET,ELLWOOD CITY,PA,16117,40.861982,-80.282913,7247520081,152259.3599999969,1518
81f334bd-8287-30cd-8020-6b673494ffca,SAINT VINCENT HOSPITAL,232 WEST 25TH STREET,ERIE,PA,16544,42.118516,-79.982388,8144525000,168802.65999999622,1642
e10235b2-91af-31e6-a325-386623b0882c,LANSDALE HOSPITAL,100 MEDICAL CAMPUS DRIVE,LANSDALE,PA,19446,40.241654,-75.28120799999998,2153682100,95465.1799999994,942
8d039cce-cb2d-3126-9b2b-3e670a2de56b,EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,LEWISBURG,PA,17837,40.964126,-76.889957,5705222200,34877.46999999995,343
3baf6390-2190-39c5-99d1-1245725d57a9,JAMESON MEMORIAL HOSPITAL,1211 WILMINGTON AVENUE,NEW CASTLE,PA,16105,40.995617,-80.345807,7246589001,78500.65000000014,749
